,phase,indicator,group,state,subgroup,time_period,time_period_label,value,lowci,highci,confidence_interval,quartile_range,age,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,date,period,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
65-74 years,,,,,,,,,,,,,,2824.85,1321.67,416.24,04-28-2020,1,,,
75 and older years,,,,,,,,,,,,,,3274.19,2049.82,1055.26,04-28-2020,1,,,
Citywide total,,,,,,,,,,,,,,1877.82,483.14,140.74,04-28-2020,1,,,
0-17 years,,,,,,,,,,,,,,210.26,16.27,0.35,04-29-2020,1,,,
18-44 years,,,,,,,,,,,,,,1746.93,174.26,14.75,04-29-2020,1,,,
45-64 years,,,,,,,,,,,,,,2863.6,698.72,133.36,04-29-2020,1,,,
65-74 years,,,,,,,,,,,,,,2860.18,1345.12,432.97,04-29-2020,1,,,
75 and older years,,,,,,,,,,,,,,3323.74,2082.54,1099.32,04-29-2020,1,,,
Citywide total,,,,,,,,,,,,,,1903.44,491.93,146.3,04-29-2020,1,,,
0-17 years,,,,,,,,,,,,,,214.89,16.33,0.35,04-30-2020,1,,,
18-44 years,,,,,,,,,,,,,,1771.2,175.6,15.05,04-30-2020,1,,,
45-64 years,,,,,,,,,,,,,,2904.36,702.66,136.33,04-30-2020,1,,,
65-74 years,,,,,,,,,,,,,,2899.8,1355.99,443.56,04-30-2020,1,,,
75 and older years,,,,,,,,,,,,,,3383.34,2106.13,1124.73,04-30-2020,1,,,
Citywide total,,,,,,,,,,,,,,1931.38,495.88,149.68,04-30-2020,1,,,
0-17 years,,,,,,,,,,,,,,219.0,16.5,0.35,05-01-2020,1,,,
18-44 years,,,,,,,,,,,,,,1794.92,177.79,15.76,05-01-2020,1,,,
45-64 years,,,,,,,,,,,,,,2945.07,711.95,141.44,05-01-2020,1,,,
65-74 years,,,,,,,,,,,,,,2937.56,1379.74,460.15,05-01-2020,1,,,
75 and older years,,,,,,,,,,,,,,3440.93,2167.19,1158.37,05-01-2020,1,,,
Citywide total,,,,,,,,,,,,,,1958.68,505.04,154.78,05-01-2020,1,,,
0-17 years,,,,,,,,,,,,,,225.66,16.56,0.35,05-02-2020,1,,,
18-44 years,,,,,,,,,,,,,,1821.42,179.01,15.85,05-02-2020,1,,,
45-64 years,,,,,,,,,,,,,,2987.48,716.37,142.85,05-02-2020,1,,,
65-74 years,,,,,,,,,,,,,,2977.04,1388.75,466.3,05-02-2020,1,,,
75 and older years,,,,,,,,,,,,,,3481.88,2185.84,1173.18,05-02-2020,1,,,
Citywide total,,,,,,,,,,,,,,1987.0,508.59,156.64,05-02-2020,1,,,
0-17 years,,,,,,,,,,,,,,232.96,16.62,0.35,05-03-2020,1,,,
18-44 years,,,,,,,,,,,,,,1843.17,179.66,15.97,05-03-2020,1,,,
45-64 years,,,,,,,,,,,,,,3022.16,719.2,144.6,05-03-2020,1,,,
65-74 years,,,,,,,,,,,,,,3007.22,1395.9,471.45,05-03-2020,1,,,
75 and older years,,,,,,,,,,,,,,3514.05,2197.18,1189.27,05-03-2020,1,,,
Citywide total,,,,,,,,,,,,,,2010.36,510.9,158.58,05-03-2020,1,,,
0-17 years,,,,,,,,,,,,,,236.72,16.85,0.35,05-04-2020,1,,,
18-44 years,,,,,,,,,,,,,,1861.24,180.14,16.17,05-04-2020,1,,,
45-64 years,,,,,,,,,,,,,,3049.54,720.7,147.27,05-04-2020,1,,,
65-74 years,,,,,,,,,,,,,,3038.83,1401.62,481.03,05-04-2020,1,,,
75 and older years,,,,,,,,,,,,,,3556.1,2205.4,1205.36,05-04-2020,1,,,
Citywide total,,,,,,,,,,,,,,2030.47,512.52,161.17,05-04-2020,1,,,
0-17 years,,,,,,,,,,,,,,239.56,17.14,0.35,05-05-2020,1,,,
18-44 years,,,,,,,,,,,,,,1874.03,181.14,16.29,05-05-2020,1,,,
45-64 years,,,,,,,,,,,,,,3070.06,725.52,149.7,05-05-2020,1,,,
65-74 years,,,,,,,,,,,,,,3058.57,1411.92,486.76,05-05-2020,1,,,
75 and older years,,,,,,,,,,,,,,3582.98,2228.8,1222.54,05-05-2020,1,,,
Citywide total,,,,,,,,,,,,,,2044.63,516.54,163.41,05-05-2020,1,,,
0-17 years,,,,,,,,,,,,,,242.51,17.55,0.35,05-06-2020,2,,,
18-44 years,,,,,,,,,,,,,,1891.16,182.36,16.53,05-06-2020,2,,,
45-64 years,,,,,,,,,,,,,,3096.72,729.9,151.7,05-06-2020,2,,,
65-74 years,,,,,,,,,,,,,,3088.18,1421.22,494.62,05-06-2020,2,,,
75 and older years,,,,,,,,,,,,,,3616.07,2245.26,1242.65,05-06-2020,2,,,
Citywide total,,,,,,,,,,,,,,2063.26,520.03,165.95,05-06-2020,2,,,
0-17 years,,,,,,,,,,,,,,245.87,17.6,0.35,05-07-2020,2,,,
18-44 years,,,,,,,,,,,,,,1906.53,182.54,16.8,05-07-2020,2,,,
45-64 years,,,,,,,,,,,,,,3119.72,731.16,154.18,05-07-2020,2,,,
65-74 years,,,,,,,,,,,,,,3113.92,1423.94,502.2,05-07-2020,2,,,
75 and older years,,,,,,,,,,,,,,3651.17,2248.18,1262.76,05-07-2020,2,,,
Citywide total,,,,,,,,,,,,,,2080.18,520.84,168.62,05-07-2020,2,,,
0-17 years,,,,,,,,,,,,,,249.58,17.95,0.35,05-08-2020,2,,,
18-44 years,,,,,,,,,,,,,,1920.27,183.1,17.06,05-08-2020,2,,,
45-64 years,,,,,,,,,,,,,,3141.71,733.15,156.56,05-08-2020,2,,,
65-74 years,,,,,,,,,,,,,,3140.96,1428.8,512.22,05-08-2020,2,,,
75 and older years,,,,,,,,,,,,,,3688.1,2260.8,1280.86,05-08-2020,2,,,
Citywide total,,,,,,,,,,,,,,2096.57,522.85,171.32,05-08-2020,2,,,
0-17 years,,,,,,,,,,,,,,254.61,18.07,0.41,05-09-2020,2,,,
18-44 years,,,,,,,,,,,,,,1934.75,185.71,17.12,05-09-2020,2,,,
45-64 years,,,,,,,,,,,,,,3165.39,737.63,157.68,05-09-2020,2,,,
65-74 years,,,,,,,,,,,,,,3163.99,1439.96,515.36,05-09-2020,2,,,
75 and older years,,,,,,,,,,,,,,3718.09,2275.97,1289.09,05-09-2020,2,,,
Citywide total,,,,,,,,,,,,,,2113.18,526.94,172.43,05-09-2020,2,,,
0-17 years,,,,,,,,,,,,,,258.21,18.82,0.46,05-10-2020,2,,,
18-44 years,,,,,,,,,,,,,,1948.1,189.01,17.3,05-10-2020,2,,,
45-64 years,,,,,,,,,,,,,,3187.96,746.92,161.28,05-10-2020,2,,,
65-74 years,,,,,,,,,,,,,,3184.01,1454.83,524.09,05-10-2020,2,,,
75 and older years,,,,,,,,,,,,,,3748.62,2301.02,1312.67,05-10-2020,2,,,
Citywide total,,,,,,,,,,,,,,2128.48,533.56,175.66,05-10-2020,2,,,
0-17 years,,,,,,,,,,,,,,266.66,21.66,0.58,05-11-2020,2,,,
18-44 years,,,,,,,,,,,,,,1998.02,216.07,17.42,05-11-2020,2,,,
45-64 years,,,,,,,,,,,,,,3267.0,806.45,162.84,05-11-2020,2,,,
65-74 years,,,,,,,,,,,,,,3270.69,1564.54,530.38,05-11-2020,2,,,
75 and older years,,,,,,,,,,,,,,3890.49,2473.06,1329.68,05-11-2020,2,,,
Citywide total,,,,,,,,,,,,,,2186.78,579.92,177.74,05-11-2020,2,,,
0-17 years,,,,,,,,,,,,,,268.98,22.06,0.58,05-12-2020,2,,,
18-44 years,,,,,,,,,,,,,,2004.99,217.77,17.69,05-12-2020,2,,,
45-64 years,,,,,,,,,,,,,,3276.38,809.51,164.54,05-12-2020,2,,,
65-74 years,,,,,,,,,,,,,,3280.85,1569.98,536.82,05-12-2020,2,,,
75 and older years,,,,,,,,,,,,,,3912.24,2485.49,1344.85,05-12-2020,2,,,
Citywide total,,,,,,,,,,,,,,2194.6,582.69,179.8,05-12-2020,2,,,
0-17 years,,,,,,,,,,,,,,271.58,22.7,0.52,05-13-2020,3,,,
18-44 years,,,,,,,,,,,,,,2015.77,220.38,17.84,05-13-2020,3,,,
45-64 years,,,,,,,,,,,,,,3290.15,815.74,166.0,05-13-2020,3,,,
65-74 years,,,,,,,,,,,,,,3293.58,1581.28,541.83,05-13-2020,3,,,
75 and older years,,,,,,,,,,,,,,3932.36,2496.82,1356.37,05-13-2020,3,,,
Citywide total,,,,,,,,,,,,,,2205.16,587.08,181.37,05-13-2020,3,,,
0-17 years,,,,,,,,,,,,,,275.69,23.8,0.46,05-14-2020,3,,,
18-44 years,,,,,,,,,,,,,,2028.08,221.95,18.07,05-14-2020,3,,,
45-64 years,,,,,,,,,,,,,,3306.44,818.61,167.21,05-14-2020,3,,,
65-74 years,,,,,,,,,,,,,,3313.75,1586.14,545.83,05-14-2020,3,,,
75 and older years,,,,,,,,,,,,,,3954.84,2504.87,1366.61,05-14-2020,3,,,
Citywide total,,,,,,,,,,,,,,2218.1,589.56,182.75,05-14-2020,3,,,
0-17 years,,,,,,,,,,,,,,279.34,23.97,0.46,05-15-2020,3,,,
18-44 years,,,,,,,,,,,,,,2042.77,222.45,18.1,05-15-2020,3,,,
45-64 years,,,,,,,,,,,,,,3332.61,819.73,167.75,05-15-2020,3,,,
65-74 years,,,,,,,,,,,,,,3342.78,1586.43,549.41,05-15-2020,3,,,
75 and older years,,,,,,,,,,,,,,4001.46,2508.34,1373.19,05-15-2020,3,,,
Citywide total,,,,,,,,,,,,,,2236.62,590.33,183.62,05-15-2020,3,,,
0-17 years,,,,,,,,,,,,,,282.82,23.86,0.46,05-16-2020,3,,,
18-44 years,,,,,,,,,,,,,,2051.44,223.49,18.4,05-16-2020,3,,,
45-64 years,,,,,,,,,,,,,,3351.62,826.54,171.49,05-16-2020,3,,,
65-74 years,,,,,,,,,,,,,,3367.39,1599.59,560.85,05-16-2020,3,,,
75 and older years,,,,,,,,,,,,,,4049.73,2530.83,1403.72,05-16-2020,3,,,
Citywide total,,,,,,,,,,,,,,2250.7,594.96,187.6,05-16-2020,3,,,
0-17 years,,,,,,,,,,,,,,286.93,24.44,0.58,05-17-2020,3,,,
18-44 years,,,,,,,,,,,,,,2065.77,223.67,18.55,05-17-2020,3,,,
45-64 years,,,,,,,,,,,,,,3375.5,828.14,172.95,05-17-2020,3,,,
65-74 years,,,,,,,,,,,,,,3391.99,1604.59,566.86,05-17-2020,3,,,
75 and older years,,,,,,,,,,,,,,4078.25,2543.08,1413.41,05-17-2020,3,,,
Citywide total,,,,,,,,,,,,,,2267.1,596.76,189.17,05-17-2020,3,,,
0-17,,,,,,,,,,,,,,288.95,24.67,0.58,05-18-2020,3,4990.0,426.0,10.0
18-44,,,,,,,,,,,,,,2073.25,223.88,18.67,05-18-2020,3,69862.0,7544.0,629.0
45-64,,,,,,,,,,,,,,3385.72,829.46,173.88,05-18-2020,3,69612.0,17054.0,3575.0
65-74,,,,,,,,,,,,,,3402.72,1608.31,570.72,05-18-2020,3,23789.0,11244.0,3990.0
75+,,,,,,,,,,,,,,4094.52,2549.11,1421.64,05-18-2020,3,22396.0,13943.0,7776.0
Citywide,,,,,,,,,,,,,,2275.02,597.91,190.3,05-18-2020,3,191073.0,50217.0,15983.0
0-17,,,,,,,,,,,,,,290.98,25.13,0.58,05-19-2020,3,5025.0,434.0,10.0
18-44,,,,,,,,,,,,,,2079.39,227.8,18.73,05-19-2020,3,70069.0,7676.0,631.0
45-64,,,,,,,,,,,,,,3395.06,835.39,174.9,05-19-2020,3,69804.0,17176.0,3596.0
65-74,,,,,,,,,,,,,,3412.16,1616.75,573.58,05-19-2020,3,23855.0,11303.0,4010.0
75+,,,,,,,,,,,,,,4109.33,2563.74,1427.67,05-19-2020,3,22477.0,14023.0,7809.0
Citywide,,,,,,,,,,,,,,2281.89,602.69,191.21,05-19-2020,3,191650.0,50618.0,16059.0
0-17,,,,,,,,,,,,,,293.59,25.36,0.58,05-20-2020,4,5070.0,438.0,10.0
18-44,,,,,,,,,,,,,,2087.7,228.42,18.87,05-20-2020,4,70349.0,7697.0,636.0
45-64,,,,,,,,,,,,,,3406.19,836.12,176.11,05-20-2020,4,70033.0,17191.0,3621.0
65-74,,,,,,,,,,,,,,3426.32,1618.18,576.01,05-20-2020,4,23954.0,11313.0,4027.0
75+,,,,,,,,,,,,,,4121.39,2567.21,1436.26,05-20-2020,4,22543.0,14042.0,7856.0
Citywide,,,,,,,,,,,,,,2290.51,603.52,192.33,05-20-2020,4,192374.0,50688.0,16153.0
0-17,,,,,,,,,,,,,,295.44,25.65,0.58,05-21-2020,4,5102.0,443.0,10.0
18-44,,,,,,,,,,,,,,2093.31,228.95,19.02,05-21-2020,4,70538.0,7715.0,641.0
45-64,,,,,,,,,,,,,,3413.2,837.38,176.7,05-21-2020,4,70177.0,17217.0,3633.0
65-74,,,,,,,,,,,,,,3437.04,1620.47,579.3,05-21-2020,4,24029.0,11329.0,4050.0
75+,,,,,,,,,,,,,,4132.18,2571.23,1443.94,05-21-2020,4,22602.0,14064.0,7898.0
Citywide,,,,,,,,,,,,,,2296.06,604.49,193.27,05-21-2020,4,192840.0,50770.0,16232.0
0-17,,,,,,,,,,,,,,301.81,26.12,0.58,05-22-2020,4,5212.0,451.0,10.0
18-44,,,,,,,,,,,,,,2105.03,229.58,19.08,05-22-2020,4,70933.0,7736.0,643.0
45-64,,,,,,,,,,,,,,3428.76,838.55,178.11,05-22-2020,4,70497.0,17241.0,3662.0
65-74,,,,,,,,,,,,,,3455.07,1623.47,583.31,05-22-2020,4,24155.0,11350.0,4078.0
75+,,,,,,,,,,,,,,4162.53,2574.71,1451.62,05-22-2020,4,22768.0,14083.0,7940.0
Citywide,,,,,,,,,,,,,,2309.28,605.6,194.47,05-22-2020,4,193951.0,50863.0,16333.0
0-17,,,,,,,,,,,,,,303.72,26.23,0.58,05-23-2020,4,5245.0,453.0,10.0
18-44,,,,,,,,,,,,,,2113.22,231.59,19.14,05-23-2020,4,71209.0,7804.0,645.0
45-64,,,,,,,,,,,,,,3440.53,842.39,178.98,05-23-2020,4,70739.0,17320.0,3680.0
65-74,,,,,,,,,,,,,,3466.65,1630.34,585.17,05-23-2020,4,24236.0,11398.0,4091.0
75+,,,,,,,,,,,,,,4177.89,2585.13,1458.38,05-23-2020,4,22852.0,14140.0,7977.0
Citywide,,,,,,,,,,,,,,2317.81,608.63,195.3,05-23-2020,4,194667.0,51117.0,16403.0
0-17,,,,,,,,,,,,,,306.33,26.52,0.58,05-24-2020,4,5290.0,458.0,10.0
18-44,,,,,,,,,,,,,,2121.95,231.92,19.17,05-24-2020,4,71503.0,7815.0,646.0
45-64,,,,,,,,,,,,,,3452.98,842.93,179.96,05-24-2020,4,70995.0,17331.0,3700.0
65-74,,,,,,,,,,,,,,3480.67,1632.2,588.03,05-24-2020,4,24334.0,11411.0,4111.0
75+,,,,,,,,,,,,,,4194.71,2588.97,1462.96,05-24-2020,4,22944.0,14161.0,8002.0
Citywide,,,,,,,,,,,,,,2327.16,609.35,196.09,05-24-2020,4,195452.0,51178.0,16469.0
0-17,,,,,,,,,,,,,,308.18,26.52,0.58,05-25-2020,4,5322.0,458.0,10.0
18-44,,,,,,,,,,,,,,2128.54,231.98,19.17,05-25-2020,4,71725.0,7817.0,646.0
45-64,,,,,,,,,,,,,,3464.71,843.27,180.2,05-25-2020,4,71236.0,17338.0,3705.0
65-74,,,,,,,,,,,,,,3489.11,1632.49,588.46,05-25-2020,4,24393.0,11413.0,4114.0
75+,,,,,,,,,,,,,,4210.06,2590.43,1463.87,05-25-2020,4,23028.0,14169.0,8007.0
Citywide,,,,,,,,,,,,,,2334.85,609.58,196.24,05-25-2020,4,196098.0,51197.0,16482.0
0-17,,,,,,,,,,,,,,309.22,26.46,0.58,05-26-2020,4,5340.0,457.0,10.0
18-44,,,,,,,,,,,,,,2134.09,232.63,19.32,05-26-2020,4,71912.0,7839.0,651.0
45-64,,,,,,,,,,,,,,3474.38,844.19,180.93,05-26-2020,4,71435.0,17357.0,3720.0
65-74,,,,,,,,,,,,,,3496.41,1635.06,590.89,05-26-2020,4,24444.0,11431.0,4131.0
75+,,,,,,,,,,,,,,4221.58,2596.28,1472.28,05-26-2020,4,23091.0,14201.0,8053.0
Citywide,,,,,,,,,,,,,,2341.1,610.65,197.23,05-26-2020,4,196623.0,51287.0,16565.0
0-17,,,,,,,,,,,,,,310.96,27.22,0.58,05-27-2020,5,5370.0,470.0,10.0
18-44,,,,,,,,,,,,,,2141.83,233.35,19.32,05-27-2020,5,72173.0,7863.0,651.0
45-64,,,,,,,,,,,,,,3486.83,845.17,181.32,05-27-2020,5,71691.0,17377.0,3728.0
65-74,,,,,,,,,,,,,,3507.42,1636.78,592.17,05-27-2020,5,24521.0,11443.0,4140.0
75+,,,,,,,,,,,,,,4238.04,2600.48,1477.4,05-27-2020,5,23181.0,14224.0,8081.0
Citywide,,,,,,,,,,,,,,2349.77,611.76,197.77,05-27-2020,5,197351.0,51380.0,16610.0
0-17,,,,,,,,,,,,,,313.74,28.03,0.58,05-28-2020,5,5418.0,484.0,10.0
18-44,,,,,,,,,,,,,,2152.6,233.61,19.35,05-28-2020,5,72536.0,7872.0,652.0
45-64,,,,,,,,,,,,,,3503.66,845.7,182.05,05-28-2020,5,72037.0,17388.0,3743.0
65-74,,,,,,,,,,,,,,3519.29,1638.21,594.18,05-28-2020,5,24604.0,11453.0,4154.0
75+,,,,,,,,,,,,,,4248.82,2605.06,1483.43,05-28-2020,5,23240.0,14249.0,8114.0
Citywide,,,,,,,,,,,,,,2360.53,612.58,198.52,05-28-2020,5,198255.0,51449.0,16673.0
0-17,,,,,,,,,,,,,,316.0,28.2,0.58,05-29-2020,5,5457.0,487.0,10.0
18-44,,,,,,,,,,,,,,2161.77,233.7,19.38,05-29-2020,5,72845.0,7875.0,653.0
45-64,,,,,,,,,,,,,,3517.14,845.99,182.92,05-29-2020,5,72314.0,17394.0,3761.0
65-74,,,,,,,,,,,,,,3531.45,1639.21,596.89,05-29-2020,5,24689.0,11460.0,4173.0
75+,,,,,,,,,,,,,,4260.89,2607.43,1488.19,05-29-2020,5,23306.0,14262.0,8140.0
Citywide,,,,,,,,,,,,,,2369.85,612.96,199.28,05-29-2020,5,199038.0,51481.0,16737.0
0-17,,,,,,,,,,,,,,318.31,29.47,0.58,05-30-2020,5,5497.0,509.0,10.0
18-44,,,,,,,,,,,,,,2171.95,235.96,19.47,05-30-2020,5,73188.0,7951.0,656.0
45-64,,,,,,,,,,,,,,3531.78,849.93,183.26,05-30-2020,5,72615.0,17475.0,3768.0
65-74,,,,,,,,,,,,,,3544.18,1646.79,598.9,05-30-2020,5,24778.0,11513.0,4187.0
75+,,,,,,,,,,,,,,4275.88,2622.24,1492.57,05-30-2020,5,23388.0,14343.0,8164.0
Citywide,,,,,,,,,,,,,,2380.03,616.68,199.85,05-30-2020,5,199893.0,51793.0,16785.0
0-17,,,,,,,,,,,,,,319.24,30.0,0.58,05-31-2020,5,5513.0,518.0,10.0
18-44,,,,,,,,,,,,,,2179.31,238.92,19.53,05-31-2020,5,73436.0,8051.0,658.0
45-64,,,,,,,,,,,,,,3543.25,856.4,183.9,05-31-2020,5,72851.0,17608.0,3781.0
65-74,,,,,,,,,,,,,,3554.76,1659.66,601.62,05-31-2020,5,24852.0,11603.0,4206.0
75+,,,,,,,,,,,,,,4290.87,2638.69,1497.87,05-31-2020,5,23470.0,14433.0,8193.0
Citywide,,,,,,,,,,,,,,2387.82,621.69,200.6,05-31-2020,5,200547.0,52214.0,16848.0
0-17,,,,,,,,,,,,,,319.99,29.94,0.64,06-01-2020,5,5526.0,517.0,11.0
18-44,,,,,,,,,,,,,,2183.11,240.59,19.53,06-01-2020,5,73564.0,8107.0,658.0
45-64,,,,,,,,,,,,,,3547.73,858.05,184.04,06-01-2020,5,72943.0,17642.0,3784.0
65-74,,,,,,,,,,,,,,3559.06,1662.67,603.19,06-01-2020,5,24882.0,11624.0,4217.0
75+,,,,,,,,,,,,,,4295.44,2640.34,1501.35,06-01-2020,5,23495.0,14442.0,8212.0
Citywide,,,,,,,,,,,,,,2391.19,623.1,201.01,06-01-2020,5,200830.0,52333.0,16882.0
0-17,,,,,,,,,,,,,,320.51,29.94,0.64,06-02-2020,5,5535.0,517.0,11.0
18-44,,,,,,,,,,,,,,2186.82,241.45,19.5,06-02-2020,5,73689.0,8136.0,657.0
45-64,,,,,,,,,,,,,,3552.74,859.32,184.09,06-02-2020,5,73046.0,17668.0,3785.0
65-74,,,,,,,,,,,,,,3561.92,1665.53,603.33,06-02-2020,5,24902.0,11644.0,4218.0
75+,,,,,,,,,,,,,,4301.29,2646.56,1502.99,06-02-2020,5,23527.0,14476.0,8221.0
Citywide,,,,,,,,,,,,,,2394.68,624.39,201.13,06-02-2020,5,201123.0,52441.0,16892.0
0-17,,,,,,,,,,,,,,320.8,28.43,0.64,06-03-2020,6,5540.0,491.0,11.0
18-44,,,,,,,,,,,,,,2196.05,241.89,19.56,06-03-2020,6,74000.0,8151.0,659.0
45-64,,,,,,,,,,,,,,3564.7,859.66,184.43,06-03-2020,6,73292.0,17675.0,3792.0
65-74,,,,,,,,,,,,,,3571.21,1666.67,605.05,06-03-2020,6,24967.0,11652.0,4230.0
75+,,,,,,,,,,,,,,4310.8,2648.57,1506.65,06-03-2020,6,23579.0,14487.0,8241.0
Citywide,,,,,,,,,,,,,,2402.81,624.57,201.61,06-03-2020,6,201806.0,52456.0,16933.0
0-17,,,,,,,,,,,,,,321.5,28.61,0.64,06-04-2020,6,5552.0,494.0,11.0
18-44,,,,,,,,,,,,,,2201.87,242.49,19.68,06-04-2020,6,74196.0,8171.0,663.0
45-64,,,,,,,,,,,,,,3572.97,860.44,184.97,06-04-2020,6,73462.0,17691.0,3803.0
65-74,,,,,,,,,,,,,,3579.22,1668.67,607.62,06-04-2020,6,25023.0,11666.0,4248.0
75+,,,,,,,,,,,,,,4325.06,2652.04,1511.4,06-04-2020,6,23657.0,14506.0,8267.0
Citywide,,,,,,,,,,,,,,2408.92,625.43,202.32,06-04-2020,6,202319.0,52528.0,16992.0
0-17,,,,,,,,,,,,,,323.0,28.61,0.64,06-05-2020,6,5578.0,494.0,11.0
18-44,,,,,,,,,,,,,,2206.41,243.82,19.82,06-05-2020,6,74349.0,8216.0,668.0
45-64,,,,,,,,,,,,,,3581.92,863.01,185.79,06-05-2020,6,73646.0,17744.0,3820.0
65-74,,,,,,,,,,,,,,3587.95,1672.82,609.2,06-05-2020,6,25084.0,11695.0,4259.0
75+,,,,,,,,,,,,,,4340.05,2659.54,1516.71,06-05-2020,6,23739.0,14547.0,8296.0
Citywide,,,,,,,,,,,,,,2414.99,627.44,203.07,06-05-2020,6,202829.0,52697.0,17055.0
0-17,,,,,,,,,,,,,,324.39,28.72,0.64,06-06-2020,6,5602.0,496.0,11.0
18-44,,,,,,,,,,,,,,2212.67,244.59,19.85,06-06-2020,6,74560.0,8242.0,669.0
45-64,,,,,,,,,,,,,,3591.84,864.28,186.62,06-06-2020,6,73850.0,17770.0,3837.0
65-74,,,,,,,,,,,,,,3598.25,1675.4,611.06,06-06-2020,6,25156.0,11713.0,4272.0
75+,,,,,,,,,,,,,,4356.14,2663.38,1521.64,06-06-2020,6,23827.0,14568.0,8323.0
Citywide,,,,,,,,,,,,,,2422.15,628.55,203.76,06-06-2020,6,203430.0,52790.0,17113.0
0-17,,,,,,,,,,,,,,325.43,29.07,0.64,06-07-2020,6,5620.0,502.0,11.0
18-44,,,,,,,,,,,,,,2216.76,245.36,19.91,06-07-2020,6,74698.0,8268.0,671.0
45-64,,,,,,,,,,,,,,3597.68,865.54,186.72,06-07-2020,6,73970.0,17796.0,3839.0
65-74,,,,,,,,,,,,,,3603.11,1678.97,612.2,06-07-2020,6,25190.0,11738.0,4280.0
75+,,,,,,,,,,,,,,4370.58,2669.23,1525.48,06-07-2020,6,23906.0,14600.0,8344.0
Citywide,,,,,,,,,,,,,,2426.78,629.92,204.15,06-07-2020,6,203819.0,52905.0,17146.0
0-17,,,,,,,,,,,,,,326.42,29.07,0.64,06-08-2020,6,5637.0,502.0,11.0
18-44,,,,,,,,,,,,,,2221.31,245.45,20.0,06-08-2020,6,74851.0,8271.0,674.0
45-64,,,,,,,,,,,,,,3605.46,865.64,186.86,06-08-2020,6,74130.0,17798.0,3842.0
65-74,,,,,,,,,,,,,,3609.4,1679.12,612.92,06-08-2020,6,25234.0,11739.0,4285.0
75+,,,,,,,,,,,,,,4381.0,2670.87,1527.67,06-08-2020,6,23963.0,14609.0,8356.0
Citywide,,,,,,,,,,,,,,2431.95,630.09,204.42,06-08-2020,6,204253.0,52920.0,17169.0
0-17,,,,,,,,,,,,,,327.23,29.13,0.64,06-09-2020,6,5651.0,503.0,11.0
18-44,,,,,,,,,,,,,,2224.87,247.14,20.06,06-09-2020,6,74971.0,8328.0,676.0
45-64,,,,,,,,,,,,,,3610.81,871.96,187.25,06-09-2020,6,74240.0,17928.0,3850.0
65-74,,,,,,,,,,,,,,3614.84,1690.56,614.06,06-09-2020,6,25272.0,11819.0,4293.0
75+,,,,,,,,,,,,,,4388.68,2691.53,1530.6,06-09-2020,6,24005.0,14722.0,8372.0
Citywide,,,,,,,,,,,,,,2435.79,634.63,204.83,06-09-2020,6,204576.0,53301.0,17203.0
0-17,,,,,,,,,,,,,,328.21,29.3,0.64,06-10-2020,7,5668.0,506.0,11.0
18-44,,,,,,,,,,,,,,2229.64,247.68,20.12,06-10-2020,7,75132.0,8346.0,678.0
45-64,,,,,,,,,,,,,,3617.23,872.84,187.64,06-10-2020,7,74372.0,17946.0,3858.0
65-74,,,,,,,,,,,,,,3623.71,1692.28,616.49,06-10-2020,7,25334.0,11831.0,4310.0
75+,,,,,,,,,,,,,,4399.47,2694.64,1535.17,06-10-2020,7,24064.0,14739.0,8397.0
Citywide,,,,,,,,,,,,,,2440.97,635.44,205.45,06-10-2020,7,205011.0,53369.0,17255.0
0-17,,,,,,,,,,,,,,329.55,29.42,0.64,06-11-2020,7,5691.0,508.0,11.0
18-44,,,,,,,,,,,,,,2233.68,247.95,20.15,06-11-2020,7,75268.0,8355.0,679.0
45-64,,,,,,,,,,,,,,3624.23,873.42,187.93,06-11-2020,7,74516.0,17958.0,3864.0
65-74,,,,,,,,,,,,,,3630.57,1693.42,618.21,06-11-2020,7,25382.0,11839.0,4322.0
75+,,,,,,,,,,,,,,4407.15,2697.02,1539.92,06-11-2020,7,24106.0,14752.0,8423.0
Citywide,,,,,,,,,,,,,,2445.66,635.96,205.98,06-11-2020,7,205405.0,53413.0,17300.0
0-17,,,,,,,,,,,,,,330.59,29.65,0.64,06-12-2020,7,5709.0,512.0,11.0
18-44,,,,,,,,,,,,,,2238.61,248.42,20.24,06-12-2020,7,75434.0,8371.0,682.0
45-64,,,,,,,,,,,,,,3631.58,874.06,188.37,06-12-2020,7,74667.0,17971.0,3873.0
65-74,,,,,,,,,,,,,,3637.3,1694.71,620.21,06-12-2020,7,25429.0,11848.0,4336.0
75+,,,,,,,,,,,,,,4417.75,2699.94,1544.49,06-12-2020,7,24164.0,14768.0,8448.0
Citywide,,,,,,,,,,,,,,2450.91,636.65,206.59,06-12-2020,7,205846.0,53471.0,17351.0
0-17,,,,,,,,,,,,,,331.63,29.71,0.64,06-13-2020,7,5727.0,513.0,11.0
18-44,,,,,,,,,,,,,,2243.89,248.39,20.24,06-13-2020,7,75612.0,8370.0,682.0
45-64,,,,,,,,,,,,,,3639.99,874.25,188.86,06-13-2020,7,74840.0,17975.0,3883.0
65-74,,,,,,,,,,,,,,3644.45,1695.14,621.5,06-13-2020,7,25479.0,11851.0,4345.0
75+,,,,,,,,,,,,,,4427.99,2701.04,1547.79,06-13-2020,7,24220.0,14774.0,8466.0
